word,count
albies000ozh,2703
alcant000san,3937
alonso000pet,9108
altuve001jos,5812
alvare000yor,3186
anders003tim,4041
arenad001nol,5520
arraez000lui,6145
assad-000jav,2263
bader-000har,3877
baez--000jav,3363
bassit000chr,2350
bell--007jos,4909
bellin000cod,9879
benint000and,4374
berrio000jos,3760
betts-000mar,10721
bichet000bo-,5930
bogaer001xan,6379
boyd--000mat,4501
bregma001ale,8676
brown-009ben,2708
bryant001kri,4867
burnes000cor,4882
busch-002mic,3862
buxton000byr,9109
castel002nic,5078
castil013lui,3879
castro003wil,3655
cease-000dyl,5145
confor001mic,6349
correa000car,13729
crow-a000pet,5448
darvis001yu-,5811
degrom001jac,10111
devers000raf,6569
diaz--004edw,5211
duran-000jho,3229
eovald001nat,5355
flaher000jac,4081
flores003wil,3022
frazie001ada,3482
freema002fre,7108
fried-001max,4101
fulmer002mic,2832
gausma001kev,4251
gibson002kyl,2837
giolit000luc,4552
glasno000tyl,4139
goldsc001pau,4073
gray--001son,8291
grichu001ran,4025
hader-000jos,3959
happ--000ian,5300
harper002bry,11272
heaney001and,2731
hendri001kyl,4078
hernan000teo,4359
heywar001jas,2405
hill--002ric,3777
hoerne000nic,5218
horton000cad,3080
hoskin000rhy,2814
iglesi001jos,3730
imanag000sho,4646
jansen001ken,3091
judge-001aar,11561
julien000edo,3438
keller000mit,3730
kelly-001car,2743
kepler001max,4681
kersha001cla,6559
kimbre001cra,5923
larnac000tre,2919
lewis-002roy,5796
lindor000fra,5795
lugo--000jac,4029
machad001man,9820
maeda-001ken,3406
manaea000sea,2598
marte-001sta,5567
matz--001ste,4408
mccann002jam,2813
mccutc001and,5842
mcneil000jef,4698
miley-001wad,3413
moncad000joh,3548
morel-000chr,3361
morton001cha,4392
nimmo-000bra,5481
otani-000sho,12468
ozuna-002mar,5939
paddac000chr,3819
peders001joc,3201
perez-001sal,2988
pham--001tho,4026
pillar000kev,3628
pivett000nic,2878
polanc001jor,4206
pomera001tho,3423
profar001jur,3361
quinta001jos,5100
reynol000bry,3658
riley-000aus,2763
robert009dav,3089
rodon-000car,4711
rodrig006edu,4670
rosari000ame,4015
sale--001chr,10628
sanche001gar,5495
santan001car,3915
scherz001max,8795
schwar001kyl,4607
semien001mar,3616
severi000lui,4166
shaw--000mat,4119
smith-000dom,4373
snell-000bla,5407
soler-000jor,3594
soroka000mic,2831
soto--003jua,9626
spring001geo,6452
stanto003mic,7176
steele000jus,3958
story-000tre,4271
stroma001mar,9483
suarez001eug,3427
suzuki001sei,5666
swanso001dan,7648
taillo001jam,6857
torres000gle,3966
trout-001mik,8453
tucker001kyl,8074
valdez005fra,2517
vazque001chr,4473
verlan001jus,9525
wacha-001mic,3398
walker001tai,3276
wallne000mat,3514
wheele001zac,6274
yelich001chr,5622
good,87021
best,85888
impressive,14565
impressed,2604
better,59122
star,43011
great,36868
greatest,2556
solid,29594
superstar,4893
incredible,4307
success,21071
successful,6265
love,8160
hot,16881
quality,13106
interesting,12742
excellent,12186
elite,11179
improve,10386
improved,7403
improving,2657
improvement,5196
positive,8892
perfect,8568
dominant,8224
dominated,2454
fun,8068
outstanding,4271
reliable,4168
intriguing,4285
valuable,8495
effective,7407
decent,7783
capable,7517
wonderful,772
upgrade,7170
favorite,6563
brilliant,1649
productive,6203
exciting,5463
happy,4808
cool,1768
promising,4989
stellar,3565
super,4050
bright,3703
encouraging,3392
fantastic,3162
ideal,3446
tremendous,3013
trust,3002
terrific,2568
respectable,2760
amazing,2421
miracle,787
unique,2510
impossible,2499
crucial,2215
premium,2190
useful,2180
spectacular,1532
magic,1907
nice,10890
never,27918
struggle,4484
struggles,11273
struggled,19471
struggling,8265
bad,19999
cold,2653
worst,15739
issue,14552
issues,12078
lack,10568
lacking,1627
problem,9991
problems,4661
poor,8765
poorly,1919
worse,8870
difficult,8941
rough,7081
risk,7981
wrong,6865
fail,1161
failed,5306
failure,1561
disappointing,5299
disappointment,1808
unable,3369
decline,3735
declining,1000
slump,3417
weak,3440
terrible,3384
quiet,2810
mistake,2718
inconsistent,2648
ugly,2532
awful,2349
shaky,1910
lazy,270
concern,5799
concerning,2123
offense,28837
offensive,19949
defense,21070
defensive,25070
avg,1342
obp,7149
ops,35703
slg,1550
era,122451
fip,15511
drs,4064
oaa,2114
fielding,5632
slugging,6841
hit,116385
hits,56999
run,114608
runs,133288
rbi,40316
single,32739
singles,4837
double,44027
doubles,14406
triple,49494
triples,3082
hr,14832
hrs,1472
homers,21403
walk,46605
walks,31057
strikeout,33045
strikeouts,31559
control,20497
command,8762
performance,22795
value,26095
production,16536
results,16294
streak,12371
history,18290
stuff,10937
slugger,8456
ace,14854
error,5581
hitless,1509
contact,14943
velocity,13893
mph,19809
clutch,3103
aggressive,5003
complete,7324
consistent,7645
consistency,3378
discipline,2964
disciplined,357
patient,1874
patience,2051
professional,7521
friendly,3907
leader,4236
leadership,2637
scrappy,165
gritty,198
grit,214
smart,1956
competitive,7236
effort,6106
steady,2562
confidence,4866
confident,2547
intelligent,248
intelligence,655
hustle,638
calm,524
awareness,291
gamer,178
mature,456
maturity,337
presence,5377
sharp,2988
explosive,516
fiery,188
emotion,401
emotional,772
intense,454
intensity,400
big,83216
strong,31740
potential,32231
talent,20296
talented,6236
ability,17199
strength,6155
slow,5631
fast,3916
speed,12998
power,36275
powerful,1548
versatile,2135
versatility,3541
natural,2521
physical,2439
weight,1986
large,5385
gift,629
gifted,445
athlete,1142
built,3645
durable,1225
tall,950
agility,114
instinct,137
raw,2739
quick,5978
aptitude,96
flexible,493
flexibility,4679
muscle,1295
injury,49425
injuries,23542
injured,27008
age,16982
health,8843
healthy,21795
suspension,2977
suspended,1514
clubhouse,5667
veteran,25957
expensive,2863
salary,20052
contract,53241
dollars,2646
pay,8886
cheap,3188
trade,106650
dominican,3514
american,2212
canadian,843
canada,936
japan,3340
japanese,1725
puerto,1034
rican,231
venezuela,1067
venezuelan,628
colombia,232
curacao,101
cuba,797
cuban,1149
mexico,853
mexican,484
